	#ALIMENTADOR	ALIM_NRO	ME_PSEUDO	ME_TIPO	ME_NOMBRE	ME_ORDEN	UT_TPLNR	UT_TXT	UT_OBJECTNAMEID	UT_TIPO	SPRID	CAPTION	SECUENCIA
30097	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327227	VANO 3x50 Al. T	6327227	LAMT	1089	LAMT 13,2 kV	89
30098	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB190	PIQUETE OB190	6327229	PIQUETE_MT	408	Poste de Madera de M.T.	90
30099	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327231	VANO 3x50 Al. T	6327231	LAMT	1089	LAMT 13,2 kV	91
30100	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB191	PIQUETE OB191	6327233	PIQUETE_MT	408	Poste de Madera de M.T.	92
30101	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327234	VANO 3x50 Al. T	6327234	LAMT	1089	LAMT 13,2 kV	93
30102	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB192	PIQUETE OB192	6327236	PIQUETE_MT	408	Poste de Madera de M.T.	94
30103	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327237	VANO 3x50 Al. T	6327237	LAMT	1089	LAMT 13,2 kV	95
30104	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB193	PIQUETE OB193	6327239	PIQUETE_MT	408	Poste de Madera de M.T.	96
30105	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327240	VANO 3x50 Al. T	6327240	LAMT	1089	LAMT 13,2 kV	97
30106	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB091	PIQUETE OB091	6327242	PIQUETE_MT	408	Poste de Madera de M.T.	98
30107	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327243	VANO 3x50 Al. T	6327243	LAMT	1089	LAMT 13,2 kV	99
30108	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB194	PIQUETE OB194	6327245	PIQUETE_MT	408	Poste de Madera de M.T.	100
30109	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327247	VANO 3x50 Al. T	6327247	LAMT	1089	LAMT 13,2 kV	101
30110	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB195	PIQUETE OB195	6327249	PIQUETE_MT	408	Poste de Madera de M.T.	102
30111	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327250	VANO 3x50 Al. T	6327250	LAMT	1089	LAMT 13,2 kV	103
30112	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB196	PIQUETE OB196	6327252	PIQUETE_MT	408	Poste de Madera de M.T.	104
30113	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327254	VANO 3x50 Al. T	6327254	LAMT	1089	LAMT 13,2 kV	105
30114	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB197	PIQUETE OB197	6327256	PIQUETE_MT	408	Poste de Madera de M.T.	106
30115	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327257	VANO 3x50 Al. T	6327257	LAMT	1089	LAMT 13,2 kV	107
30116	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB198	PIQUETE OB198	6327259	PIQUETE_MT	408	Poste de Madera de M.T.	108
30117	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327260	VANO 3x50 Al. T	6327260	LAMT	1089	LAMT 13,2 kV	109
30118	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB199	PIQUETE OB199	6327262	PIQUETE_MT	408	Poste de Madera de M.T.	110
30119	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327263	VANO 3x50 Al. T	6327263	LAMT	1089	LAMT 13,2 kV	111
30120	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB200	PIQUETE OB200	6327265	PIQUETE_MT	408	Poste de Madera de M.T.	112
30121	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327266	VANO 3x50 Al. T	6327266	LAMT	1089	LAMT 13,2 kV	113
30122	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB201	PIQUETE OB201	6327268	PIQUETE_MT	408	Poste de Madera de M.T.	114
