#TPLNR	DESCRIPT	TIPO_OBJ_TEC	INVNR	BEGRU	F_ALTA_SAP	F_BAJA_SAP	PTA_SERVICIO	TPLMA	EMPLAZAMIENTO	DIVISION	AREA	OBJECTID	OBJECTNAMEID	TIPO	PARTIDO_GEO	LOCALIDAD_GEO	PARTIDO	LOCALIDAD	SPRID	ALIAS	SECCION	PERFIL	PARTE_OBJETO	OBJETO	LONGITUD	CUADRICULAID	CUADRICULA	FLTYP	COOR_X	COOR_Y	CTRO_COSTO	CALLE	ALTURA_DESDE	ALTURA_HASTA	ENTRE_CALLE_1	ENTRE_CALLE_2	GPS	IDENTIFICADOR
40852C	40852-PANCRACIO (3) CTN PANCRACIO (3)	CENTRO	94678952	MT	02/06/2024		28/05/2024	5822A	5822A	6.0	3TI	94678952.0	94678952.0	CENTRO	334.0	440.0	TIGRE	EL TALAR	1184.0	CTN		CECRATRN	CECTNTBT	NBPF		57490276.0	227Q	P	5624534.159	6185138.152	4439.0	RECONQUISTA(ETA)	1800	1850	PASTEUR LUIS(ETA)	BRASIL(ETA)	-34.4718 , -58.6445	40852-PANCRACIO (3)
AG520-003	PIQUETE AG520	PIQUETE_MT	94194071	MT	24/12/2017		01/01/1998	MM91457338	15326A	6.0	3TI	94194071.0	94194071.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489444.0	138	Q	5628663.055	6203679.463	4439.0	ARROYO ANDRESITO			ARROYO ANDRESITO		-34.3042 , -58.6024	AG520
6087147	VANO 3x120 Al. V	LINEA_MT	6087147	MT	22/03/2016		01/01/1970	MM6087084	5822A	6.0	3TI	93904912.0	6087147.0	LAMT	334.0	444.0	TIGRE	GENERAL PACHECO	1089.0	LMT13	3x120 Al. 	LNAEREMT	LNA132MT	L139	20.0	57490268.0	227I	L	5626130.39	6186298.84	4439.0	PIROVANO(GPA)	401	499			-34.4611 , -58.6273	
AH182-003	PIQUETE AH182	PIQUETE_MT	94233796	MT	20/03/2018		01/01/1998	MM95885564	15326A	6.0	3TI	94233796.0	94233796.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489433.0	125	Q	5625578.965	6206047.372	4439.0	RIO CARAPACHAY			RIO CARAPACHAY		-34.2832 , -58.6362	AH182
6328397	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6328397	MT	22/03/2016		01/01/1998	MM6328469	15326A	6.0	3TI	6328397.0	6328397.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	22.8	57489432.0	126	L	5628552.416	6206377.713	4439.0	ARROYO SIN NOMBRE NRO 3					-34.2799 , -58.604	
AG800-004	PIQUETE AG800	PIQUETE_MT	94217183	MT	28/04/2024		25/11/2021	MM65970618	15326A	6.0	3TI	94217183.0	94217183.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57493288.0	181I	Q	5629424.773	6194745.162	4439.0	ARROYO ESPERITA			CANAL VENECIA		-34.3846 , -58.5927	AG800
AH279-004	PIQUETE AH279	PIQUETE_MT	94233197	MT	28/04/2024		01/01/1998	MM6331378	15326A	6.0	3TI	94233197.0	94233197.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489445.0	137	Q	5625483.501	6203705.026	4439.0	RIO CARAPACHAY			RIO CARAPACHAY		-34.3043 , -58.6369	AH279
94214606	VANO 3x50 Al. V	LINEA_MT	94214606	MT	28/04/2024		01/01/1995	MM6331901	15326A	6.0	3TI	94214606.0	94214606.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.01	57493293.0	181N	L	5629531.524	6194227.624	4439.0	RIO CARAPACHAY					-34.3893 , -58.5915	
OA022	PIQUETE OA022	PIQUETE_MT	6331391	MT	22/03/2016		06/05/2002	MM95885564	15326A	6.0	3TI	6331391.0	6331391.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489433.0	125	Q	5625562.447	6206265.016	4439.0	RIO CARAPACHAY					-34.2813 , -58.6364	OA022
5580081	VANO 3x25 Al. H	LINEA_MT	5580081	MT	22/03/2016		01/01/1974	MM77859938	13212A	1.0	2ME	5580081.0	5580081.0	LAMT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1089.0	LMT13	3x25 Al. H	LNAEREMT	LNA132MT	L135	64.39	57489616.0	457	L	5595098.11	6145415.113	4424.0	CNO AL PINO*	10	10			-34.8329 , -58.9604	
6326265	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6326265	MT	22/03/2016		01/01/2000	MM6326185	15326A	6.0	3TI	6326265.0	6326265.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	40.93	57493284.0	181E	L	5630037.539	6195122.987	4439.0	ARROYO REYES	0       				-34.3811 , -58.5861	
OC117	PIQUETE OC117	PIQUETE_MT	6332399	MT	22/03/2016		08/07/2003	MM6332094	15326A	6.0	3TI	6332399.0	6332399.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489457.0	150	Q	5626670.307	6199943.423	4439.0	ARROYO ESPERA					-34.3381 , -58.6235	OC117
K17OL	SECCIONADOR K17OL	SECCIONADR	6331951	MT	21/03/2016			15326A	15326A	6.0	3TI	6331951.0	6331951.0	SECC_AEREO_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	397.0	SECA		SEMTMANS	SEAUTOKY	SEKY		57493283.0	181D	P	5629586.663	6195387.629	4439.0	ARROYO ANGOSTURA			ARROYO LOS NOGALES	ARROYO REYES	-34.3788 , -58.5911	K17OL
AG813-004	PIQUETE AG813	PIQUETE_MT	94217211	MT	28/04/2024		01/01/1995	MM6331936	15326A	6.0	3TI	94217211.0	94217211.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57493283.0	181D	Q	5629595.267	6195340.83	4439.0	ARROYO ANGOSTURA			ARROYO ESPERITA		-34.3792 , -58.591	AG813
94235239	VANO 3x50 Al. V	LINEA_MT	94235239	MT	28/04/2024		01/01/1998	MM95885564	15326A	6.0	3TI	94235239.0	94235239.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	39.15	57489433.0	125	L	5625586.042	6206008.861	4439.0	RIO CARAPACHAY					-34.2836 , -58.6361	
94226930	VANO 3x50 Al. V	LINEA_MT	94226930	MT	28/04/2024		01/01/1998	MM6331352	15326A	6.0	3TI	94226930.0	94226930.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	42.05	57489445.0	137	L	5625234.086	6202602.076	4439.0	RIO CARAPACHAY					-34.3143 , -58.6394	
AG823-004	PIQUETE AG823	PIQUETE_MT	94214180	MT	28/04/2024		01/01/1995	MM6328907	15326A	6.0	3TI	94214180.0	94214180.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57490103.0	197D	Q	5629423.19	6192762.66	4439.0	RIO CARAPACHAY			RIO LUJAN		-34.4025 , -58.5925	AG823
94226951	VANO 3x50 Al. V	LINEA_MT	94226951	MT	28/04/2024		01/01/1998	MM6331352	15326A	6.0	3TI	94226951.0	94226951.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.99	57489445.0	137	L	5625201.758	6203028.593	4439.0	RIO CARAPACHAY					-34.3105 , -58.6399	
6331277	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6331277	MT	22/03/2016		01/01/1998	MM6331352	15326A	6.0	3TI	6331277.0	6331277.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	38.76	57489445.0	137	L	5624934.031	6201880.962	4439.0	RIO CARAPACHAY	0       				-34.3208 , -58.6426	
6087156	VANO 3x120 Al. V	LINEA_MT	6087156	MT	22/03/2016		01/01/1970	MM6087084	5822A	6.0	3TI	93904915.0	6087156.0	LAMT	334.0	444.0	TIGRE	GENERAL PACHECO	1089.0	LMT13	3x120 Al. 	LNAEREMT	LNA132MT	L139	61.17	57490269.0	227J	L	5626296.638	6186382.126	4439.0	PIROVANO(GPA)	401	499			-34.4604 , -58.6255	
53059334	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	53059334	MT	22/03/2016		19/05/2014	MM97171910	13212A	1.0	2ME	53059334.0	53059334.0	LAMT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	24.6	57491317.0	422R	L	5593555.24	6151358.031	4424.0	RUTA NRO 6					-34.7795 , -58.9779	
80367157	VANO 3x25 Al. H	LINEA_MT	80367157	MT	01/12/2020		01/01/1998	MM6328184	15326A	6.0	3TI	94104483.0	80367157.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x25 Al. H	LNAEREMT	LNA132MT	L135	5.89	57489456.0	151	L	5628392.748	6200559.643	4439.0	ARROYO TORITO					-34.3323 , -58.6048	
AN186-002	PIQUETE AN186	PIQUETE_MT	90272669	MT	08/05/2023		29/03/2023	MM5690339	13212A	1.0	2ME	90272669.0	90272669.0	PIQUETE_MT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57492925.0	521F	Q	5599449.671	6135534.512	4424.0	AERODROMO*			GONZAGA*		-34.9216 , -58.9117	AN186
94233777	VANO 3x50 Al. V	LINEA_MT	94233777	MT	28/04/2024		01/01/1998	MM95885564	15326A	6.0	3TI	94233777.0	94233777.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.75	57489433.0	125	L	5625589.744	6205590.014	4439.0	RIO CARAPACHAY					-34.2873 , -58.636	
94233198	VANO 3x50 Al. V	LINEA_MT	94233198	MT	28/04/2024		01/01/1998	MM6331378	15326A	6.0	3TI	94233198.0	94233198.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.02	57489445.0	137	L	5625472.781	6203666.465	4439.0	RIO CARAPACHAY					-34.3047 , -58.637	
94233216	VANO 3x50 Al. V	LINEA_MT	94233216	MT	28/04/2024		01/01/1998	MM6331378	15326A	6.0	3TI	94233216.0	94233216.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.16	57489445.0	137	L	5625525.315	6203947.688	4439.0	RIO CARAPACHAY					-34.3021 , -58.6365	
6332161	VANO 3x50 Al. V	LINEA_MT	6332161	MT	22/03/2016		01/01/1998	MM6332094	15326A	6.0	3TI	6332161.0	6332161.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	32.93	57489472.0	165	L	5626998.231	6198275.369	4439.0	ARROYO ESPERA					-34.3531 , -58.6196	
6327505	VANO 3x50 Al. V	LINEA_MT	6327505	MT	22/03/2016		01/01/1998	MM96025328	15326A	6.0	3TI	6327505.0	6327505.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.27	57489455.0	152	L	5631628.507	6198851.357	4439.0	ARROYO TORO					-34.3473 , -58.5694	
AL049	PIQUETE AL049	PIQUETE_MT	5579555	MT	22/03/2016		29/11/2022	MM5579521	13212A	1.0	2ME	5579555.0	5579555.0	PIQUETE_MT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	408.0	MPSM		POMTMADS	POMTMADE	PO14		57491277.0	440R	Q	5593328.069	6148172.015	4424.0	SAN  CIPRIANO	10	10			-34.8082 , -58.98	AL049
OL884	PIQUETE OL884	PIQUETE_MT	6330277	MT	22/03/2016		14/08/2024	MM6330285	15326A	6.0	3TI	6330277.0	6330277.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57493280.0	181A	Q	5627008.959	6194999.976	4439.0	RIO CARAPACHAY	0       				-34.3826 , -58.619	OL884
94233207	VANO 3x50 Al. V	LINEA_MT	94233207	MT	28/04/2024		01/01/1998	MM6331378	15326A	6.0	3TI	94233207.0	94233207.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	47.0	57489445.0	137	L	5625518.643	6203861.139	4439.0	RIO CARAPACHAY					-34.3029 , -58.6365	
AF652-004	PIQUETE AF652	PIQUETE_MT	94159122	MT	23/04/2024		01/01/1998	MM91457323	15326A	6.0	3TI	94159122.0	94159122.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489456.0	151	Q	5629616.245	6200493.413	4439.0	ARROYO TORO			ARROYO TORO		-34.3328 , -58.5915	AF652
94178201	VANO 3x50 Al. T	LINEA_MT	94178201	MT	23/04/2024		01/01/1998	MM95858046	15326A	6.0	3TI	94178201.0	94178201.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	40.41	57489419.0	112	L	5627250.247	6206903.976	4439.0	ARROYO SIN NOMBRE NRO 2	0       				-34.2753 , -58.6182	
AG237-004	PIQUETE AG237	PIQUETE_MT	94187886	MT	23/04/2024		01/01/1999	MM6331628	15326A	6.0	3TI	94187886.0	94187886.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489433.0	125	Q	5626378.27	6205838.145	4439.0	ARROYO CRUZ COLORADA			ARROYO CRUZ COLORADA		-34.285 , -58.6275	AG237
AG509-004	PIQUETE AG509	PIQUETE_MT	94193160	MT	23/04/2024		01/01/1999	MM91457338	15326A	6.0	3TI	94193160.0	94193160.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489432.0	126	Q	5628596.145	6204150.152	4439.0	ARROYO ANDRESITO			ARROYO ANDRESITO		-34.2999 , -58.6032	AG509
99187911	EMPALME MT	EMPALME_MT	99187911	MT	25/05/2025		22/05/2025	MM60272469	23748A	2.0	1CA	99187911.0	99187911.0	EMPALME MT	61.0	351.0	CAPITAL FEDERAL	RECOLETA	418.0	MEM		EPUNI132	EPMTTE13	EGMT		57490707.0	311H	Q	5646450.161	6172212.745	4410.0	SANCHEZ DE BUSTAMANTE	2401	2599			-34.5854 , -58.4038	
OC109	PIQUETE OC109	PIQUETE_MT	6327609	MT	22/03/2016		07/07/2003	MM6327631	15326A	6.0	3TI	6327609.0	6327609.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489432.0	126	Q	5629890.605	6204395.808	4439.0	ARROYO ANTEQUERA					-34.2976 , -58.5891	OC109
25071446	VANO 3x25 Al. H	LINEA_MT	25071446	MT	22/03/2016		10/10/2008	MM5579521	13212A	1.0	2ME	25071446.0	25071446.0	LAMT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	1089.0	LMT13	3x25 Al. H	LNAEREMT	LNA132MT	L135	2.72	57491270.0	440K	L	5592555.508	6148959.523	4424.0	SAN  CIPRIANO	10	10			-34.8012 , -58.9886	
OS040	PIQUETE OS040	PIQUETE_MT	6327538	MT	22/03/2016		12/10/2005	MM96025328	15326A	6.0	3TI	6327538.0	6327538.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489455.0	152	Q	5631283.158	6199163.146	4439.0	ARROYO TORO	0       				-34.3446 , -58.5732	OS040
68869661	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	68869661	MT	14/05/2018		10/05/2018	MM97171910	13212A	1.0	2ME	68869661.0	68869661.0	LAMT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	65.17	57491316.0	422Q	L	5592955.078	6151193.464	4424.0	RUTA NRO 6					-34.7811 , -58.9845	
58090799	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	58090799	MT	27/05/2016		05/04/2016	MM6330285	15326A	6.0	3TI	58090799.0	58090799.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	28.56	57493287.0	181H	L	5628539.1	6194779.935	4439.0	RIO CARAPACHAY					-34.3844 , -58.6024	
OL196	PIQUETE OL196	PIQUETE_MT	6331489	MT	22/03/2016		01/01/1998	MM6331609	15326A	6.0	3TI	6331489.0	6331489.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489420.0	111	Q	5625190.72	6207463.912	4439.0	ARROYO CRUZ COLORADA					-34.2705 , -58.6406	OL196
94197656	VANO 3x50/8 Al/Ac. LP	LINEA_MT	94197656	MT	23/04/2024		01/01/2000	MM6328526	15326A	6.0	3TI	94197656.0	94197656.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	41.59	57489432.0	126	L	5627403.714	6206151.584	4439.0	ARROYO LA HORCA					-34.2821 , -58.6164	
6332808	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	6332808	MT	22/03/2016		27/09/2024	MM6332760	15326A	6.0	3TI	6332808.0	6332808.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	36.47	57489472.0	165	L	5629402.571	6197078.326	4439.0	ARROYO GELVEZ					-34.3636 , -58.5933	
62547731	VANO 3x50/8 Al/Ac. LP	LINEA_MT	62547731	MT	29/01/2017		01/01/1999	MM6328184	15326A	6.0	3TI	62547731.0	62547731.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	3.28	57489456.0	151	L	5628231.566	6200997.792	4439.0	ARROYO TORITO					-34.3284 , -58.6066	
6326982	VANO 3x50 Al. T	LINEA_MT	6326982	MT	22/03/2016		01/01/1998	MM91523040	15326A	6.0	3TI	80008764.0	6326982.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	41.42	57489455.0	152	L	5631497.222	6201051.821	4439.0	RIO CAPITAN	0       				-34.3275 , -58.5712	
29455593	CT 40239-TR1	TRAFO_LOG	29455593	MT	22/03/2016			40239C	15326A	6.0	3TI	29455593.0	29455593.0	TRAFO	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1170.0	TMB		CETRANSF				57489455.0	152	P	5631991.28	6198785.549	4439.0	ARROYO CAPITAN VIEJO	44		RIO CAPITAN	ARROYO TORO	-34.3479 , -58.5655	40239-TR1
OL845	PIQUETE OL845	PIQUETE_MT	6330506	MT	22/03/2016		01/01/2000	MM6330636	15326A	6.0	3TI	6330506.0	6330506.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489473.0	164	Q	5626079.452	6196108.257	4439.0	RIO CARAPACHAY	0       				-34.3727 , -58.6293	OL845
6329844	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	6329844	MT	22/03/2016		01/01/2004	MM6329949	15326A	6.0	3TI	6329844.0	6329844.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	37.41	57493298.0	181S	L	5629203.025	6193300.531	4439.0	RIO CARAPACHAY	0       				-34.3976 , -58.5949	
AF490-004	PIQUETE AF490	PIQUETE_MT	94139368	MT	23/04/2024		01/01/1997	MM90207252	15326A	6.0	3TI	94139368.0	94139368.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489444.0	138	Q	5630046.324	6202874.213	4439.0	ARROYO ANTEQUERA			ARROYO ANTEQUERA		-34.3113 , -58.5872	AF490
94192685	VANO 3x50 Al. V	LINEA_MT	94192685	MT	23/04/2024		01/01/1998	MM91457338	15326A	6.0	3TI	94192685.0	94192685.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	41.16	57489444.0	138	L	5628730.059	6202952.802	4439.0	ARROYO ANDRESITO					-34.3107 , -58.6015	
AF874-004	PIQUETE AF874	PIQUETE_MT	94169665	MT	23/04/2024		01/01/1998	MM91457323	15326A	6.0	3TI	94169665.0	94169665.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489444.0	138	Q	5629079.593	6201515.344	4439.0	ARROYO TORO			ARROYO TORO		-34.3236 , -58.5975	AF874
AF964-004	PIQUETE AF964	PIQUETE_MT	94169197	MT	23/04/2024		01/01/1998	MM91457323	15326A	6.0	3TI	94169197.0	94169197.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489456.0	151	Q	5629421.541	6200707.179	4439.0	ARROYO TORO			ARROYO TORO		-34.3309 , -58.5937	AF964
97723467	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	97723467	MT	09/02/2025		15/11/2024	MM97361894	15326A	6.0	3TI	97723467.0	97723467.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	47.18	57489473.0	164	L	5626051.064	6198130.2	4439.0	RIO CARAPACHAY					-34.3545 , -58.6299	
AG521-003	PIQUETE AG521	PIQUETE_MT	94194073	MT	24/12/2017		01/01/1999	MM91457338	15326A	6.0	3TI	94194073.0	94194073.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489444.0	138	Q	5628655.949	6203718.341	4439.0	ARROYO ANDRESITO			ARROYO ANDRESITO		-34.3038 , -58.6024	AG521
6332403	VANO 3x50 Al. T	LINEA_MT	6332403	MT	22/03/2016		01/01/1998	MM6332094	15326A	6.0	3TI	6332403.0	6332403.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	40.41	57489457.0	150	L	5626679.647	6199981.905	4439.0	ARROYO ESPERA					-34.3377 , -58.6234	
6331062	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6331062	MT	22/03/2016		01/01/1998	MM96295187	15326A	6.0	3TI	6331062.0	6331062.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	39.7	57489457.0	150	L	5624398.959	6200340.289	4439.0	RIO CARAPACHAY	0       				-34.3348 , -58.6482	
AG512-003	PIQUETE AG512	PIQUETE_MT	94193166	MT	24/12/2017		01/01/1999	MM91457338	15326A	6.0	3TI	94193166.0	94193166.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489444.0	138	Q	5628587.34	6204031.125	4439.0	ARROYO ANDRESITO			ARROYO ANDRESITO		-34.301 , -58.6032	AG512
94158561	VANO 3x50/8 Al/Ac. P. LP	LINEA_MT	94158561	MT	23/04/2024		05/12/2024	MM6327631	15326A	6.0	3TI	94158561.0	94158561.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	40.56	57489432.0	126	L	5629911.397	6205264.239	4439.0	ARROYO ANTEQUERA					-34.2897 , -58.589	
94192338	VANO 3x50 Al. T	LINEA_MT	94192338	MT	23/04/2024		01/01/1998	MM78876853	15326A	6.0	3TI	94192338.0	94192338.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	39.9	57489433.0	125	L	5626649.912	6204879.081	4439.0	ARROYO CRUZ COLORADA					-34.2936 , -58.6244	
94192971	VANO 3x50 Al. V	LINEA_MT	94192971	MT	23/04/2024		01/01/1998	MM91457338	15326A	6.0	3TI	94192971.0	94192971.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.24	57489444.0	138	L	5628686.65	6203364.438	4439.0	ARROYO ANDRESITO					-34.307 , -58.6021	
94159001	VANO 3x50 Al. T	LINEA_MT	94159001	MT	23/04/2024		01/01/1998	MM91457323	15326A	6.0	3TI	94159001.0	94159001.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	42.02	57489456.0	151	L	5629868.571	6200064.427	4439.0	ARROYO TORO					-34.3366 , -58.5887	
AF887-004	PIQUETE AF887	PIQUETE_MT	94169692	MT	23/04/2024		01/01/1998	MM91457323	15326A	6.0	3TI	94169692.0	94169692.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489444.0	138	Q	5629020.769	6202077.829	4439.0	ARROYO TORO			ARROYO TORO		-34.3186 , -58.5982	AF887
5581588	VANO 3x50/8 Al/Ac. LP	LINEA_MT	5581588	MT	22/03/2016		01/01/2000	MM77660722	13212A	1.0	2ME	5581588.0	5581588.0	LAMT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	60.15	57491301.0	422B	L	5592665.864	6153286.383	4424.0	RUTA NRO 6					-34.7622 , -58.9878	
