#TPLNR	DESCRIPT	TIPO_OBJ_TEC	INVNR	BEGRU	F_ALTA_SAP	F_BAJA_SAP	PTA_SERVICIO	TPLMA	EMPLAZAMIENTO	DIVISION	AREA	OBJECTID	OBJECTNAMEID	TIPO	PARTIDO_GEO	LOCALIDAD_GEO	PARTIDO	LOCALIDAD	SPRID	ALIAS	SECCION	PERFIL	PARTE_OBJETO	OBJETO	LONGITUD	CUADRICULAID	CUADRICULA	FLTYP	COOR_X	COOR_Y	CTRO_COSTO	CALLE	ALTURA_DESDE	ALTURA_HASTA	ENTRE_CALLE_1	ENTRE_CALLE_2	GPS	IDENTIFICADOR
94111559	VANO 3x50 Al. V	LINEA_MT	94111559	MT	14/04/2024		01/01/1994	MM96073680	15326A	6.0	3TI	94111559.0	94111559.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.0	57489472.0	165	L	5628016.803	6197639.3	4439.0	ARROYO ESPERA	0       				-34.3587 , -58.6085	
40650C	40650-arcada (P) CTAMM arcada (P)	CENTRO	67140370	MT	31/12/2017		26/12/2017	15326A	15326A	6.0	3TI	67140370.0	67140370.0	CENTRO	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1188.0	CTAMM		CEPLATMM	CECTAMMC	DPAT		57489471.0	166	P	5630734.838	6198415.819	4439.0	ARROYO LAS GAVIOTAS			ARROYO RAMA NEGRA	ARROYO RAMA NEGRA	-34.3514 , -58.5791	40650-arcada (P)
MP_Z04-1460	MODULO PROTECCION - Z04-1460	MODULO						Z04-1460	15326A	6.0	3TI			MODULO_PROTECCION	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)										L										
79968673	TRAMO 3x1x185/50 Al. XLPE	CABLE_MT	79968673	MT	13/10/2020		26/09/2020	MM79968671	13212A	1.0	2ME	79968673.0	79968673.0	CSMT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	1091.0	CMT13	3x1x185/50	CSMT13KV	CS132XLP	P050	3.4	57491243.0	458D	L	5597692.249	6147400.659	4424.0	RUTA NRO 6		(+/-10)			-34.8148 , -58.9323	
6087055	VANO 3x120 Al. V	LINEA_MT	6087055	MT	22/03/2016		01/01/1970	MM6086924	5822A	6.0	3TI	93902497.0	6087055.0	LAMT	334.0	440.0	TIGRE	EL TALAR	1089.0	LMT13	3x120 Al. 	LNAEREMT	LNA132MT	L139	1.37	57490272.0	227M	L	5625055.446	6185801.955	4439.0						-34.4657 , -58.6389	
MP_K04-1471	MODULO PROTECCION - K04-1471	MODULO						K04-1471	15326A	6.0	3TI			MODULO_PROTECCION	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)										L										
AO133-002	PIQUETE AO133	PIQUETE_MT	95011858	MT	07/07/2024		26/03/2024	MM34032462	13212A	1.0	2ME	95011858.0	95011858.0	PIQUETE_MT	350.0	485.0	GRAL LAS HERAS	GRAL LAS HERAS	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57491225.0	476F	Q	5599538.031	6144251.316	4424.0	RUTA PROV NRO 6			MARQUESE*		-34.843 , -58.9117	AO133
6086904	VANO 3x120 Al. V	LINEA_MT	6086904	MT	22/03/2016		01/01/1970	MM6086873	5822A	6.0	3TI	93899661.0	6086904.0	LAMT	334.0	440.0	TIGRE	EL TALAR	1089.0	LMT13	3x120 Al. 	LNAEREMT	LNA132MT	L139	87.4	57490275.0	227P	L	5623907.966	6185088.766	4439.0						-34.4723 , -58.6513	
AK855-004	PIQUETE AK855	PIQUETE_MT	97723466	MT	09/02/2025		06/02/2025	MM97361894	15326A	6.0	3TI	97723466.0	97723466.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489473.0	164	Q	5626090.912	6198155.477	4439.0	CANAL 8			RIO CARAPACHAY		-34.3543 , -58.6295	AK855
AO538-002	PIQUETE AO538	PIQUETE_MT	97204715	MT	22/12/2024		19/12/2024	MM97171947	13212A	1.0	2ME	97204715.0	97204715.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57491261.0	440B	Q	5592725.167	6150664.86	4424.0	INES*	0	0	CTRY LAS HOJAS		-34.7858 , -58.9869	AO538
AO534-002	PIQUETE AO534	PIQUETE_MT	97204711	MT	22/12/2024		19/12/2024	MM97171947	13212A	1.0	2ME	97204711.0	97204711.0	PIQUETE_MT	349.0	486.0	MARCOS PAZ	MARCOS PAZ	422.0	MPSH		POMTHAAR	POMTHARM	PH14		57491260.0	440A	Q	5592523.821	6150600.994	4424.0	INES*	0	0	CTRY LAS HOJAS		-34.7864 , -58.9891	AO534
40703C	40703-BIROME (3) CTAS BIROME (3)	CENTRO	74363495	MT	26/05/2019		17/05/2019	5822A	5822A	6.0	3TI	74363495.0	74363495.0	CENTRO	334.0	440.0	TIGRE	EL TALAR	1186.0	CTAS		CEPLATHB	CECTASCO	FPAT		57490272.0	227M	P	5624837.622	6185517.736	4439.0	RODRIGUEZ PEÑA	1601	1699	CANDA	CUBA	-34.4683 , -58.6413	40703-BIROME (3)
6326190	VANO 3x50/8 Al/Ac. LP	LINEA_MT	6326190	MT	22/03/2016		01/01/2000	MM6326185	15326A	6.0	3TI	6326190.0	6326190.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50/8 Al/	LNAEREMT	LNA132MT	L135	43.88	57489463.0	182	L	5630787.82	6195154.408	4439.0	ARROYO REYES	0       				-34.3807 , -58.578	
94233655	VANO 3x50 Al. V	LINEA_MT	94233655	MT	28/04/2024		01/01/1998	MM95885564	15326A	6.0	3TI	94233655.0	94233655.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. V	LNAEREMT	LNA132MT	L135	40.73	57489433.0	125	L	5625596.154	6205314.758	4439.0	RIO CARAPACHAY					-34.2898 , -58.6359	
AG776-004	PIQUETE AG776	PIQUETE_MT	94214329	MT	28/04/2024		01/01/1995	MM6331891	15326A	6.0	3TI	94214329.0	94214329.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57493293.0	181N	Q	5629633.964	6193604.489	4439.0	RIO CARAPACHAY			CANAL EDEN		-34.3949 , -58.5903	AG776
AG758-004	PIQUETE AG758	PIQUETE_MT	94214229	MT	28/04/2024		15/10/2021	MM6328907	15326A	6.0	3TI	94214229.0	94214229.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57490103.0	197D	Q	5629418.441	6192802.207	4439.0	RIO CARAPACHAY			RIO CARAPACHAY		-34.4021 , -58.5925	AG758
40619C	40619-BIPOLAR (P) CTAMM BIPOLAR (P)	CENTRO	65085291	MT	20/08/2017		04/08/2017	15326A	15326A	6.0	3TI	65085291.0	65085291.0	CENTRO	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1188.0	CTAMM		CEPLATMM	CECTAMMC	DPAT		57489444.0	138	P	5627462.262	6202696.19	4439.0	ARROYO TORO			ARROYO ESPERA		-34.3132 , -58.6153	40619-BIPOLAR (P)
AG119-004	PIQUETE AG119	PIQUETE_MT	94185843	MT	23/04/2024		01/01/2000	MM6328526	15326A	6.0	3TI	94185843.0	94185843.0	PIQUETE_MT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	408.0	MPSM		POMTMADS	POMTMADE	PO14		57489432.0	126	Q	5627860.184	6206128.841	4439.0	ARROYO LA HORCA			ARROYO LA HORCA		-34.2822 , -58.6114	AG119
94177916	VANO 3x50 Al. T	LINEA_MT	94177916	MT	23/04/2024		01/01/1998	MM78876846	15326A	6.0	3TI	94177916.0	94177916.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	42.29		137	L	5626878.032	6202536.354	4439.0	ARROYO ESPERA					-34.3147 , -58.6216	
94138660	VANO 3x50 Al. T	LINEA_MT	94138660	MT	23/04/2024		01/01/1997	MM6327579	15326A	6.0	3TI	94138660.0	94138660.0	LAMT	334.0	435.0	TIGRE	DELTA 1RA SECCION (TI)	1089.0	LMT13	3x50 Al. T	LNAEREMT	LNA132MT	L135	40.04	57489444.0	138	L	5630264.771	6202134.819	4439.0	ARROYO ANTEQUERA					-34.3179 , -58.5847	
